Année	Série	Lieu	Session	Sujet
1996	S	ÉTRANGER GROUPE 1	REMPLACEMENT	La justice consiste-t-elle à traiter également tous les hommes ?
1996	S	ÉTRANGER GROUPE 1	REMPLACEMENT	Sommes-nous entièrement maîtres de nos pensées ?
1996	TECHN.	ÉTRANGER GROUPE 1	REMPLACEMENT	La connaissance de l'histoire permet-elle de préparer un avenir meilleur ?
1996	TECHN.	ÉTRANGER GROUPE 1	REMPLACEMENT	Respecter la nature, est-ce renoncer à la travailler ?
1996	ES	GROUPEMENTS I-IV	NORMALE	Peut-on être plus ou moins libre ?
1996	ES	GROUPEMENTS I-IV	NORMALE	Le travail n'est-il qu'une contrainte ?
1996	ES	GROUPEMENTS I-IV	NORMALE	À quelles conditions une démarche est-elle scientifique ?
1996	ES	GROUPEMENTS I-IV	NORMALE	Faut-il parfois désobéir aux lois ?
1996	L	GROUPEMENTS I-IV	NORMALE	L'avenir peut-il être objet de connaissances ?
1996	L	GROUPEMENTS I-IV	NORMALE	Toute passion est-elle déraisonnable ?
1996	L	GROUPEMENTS I-IV	NORMALE	Qu'admire-t-on dans une oeuvre ?
1996	L	GROUPEMENTS I-IV	NORMALE	Les hommes ne vivent-ils en société que par intérêt ?
1996	S	GROUPEMENTS I-IV	NORMALE	Quelle conception de l'homme l'hypothèse de l'inconscient remet-elle en cause ?
1996	S	GROUPEMENTS I-IV	NORMALE	Y a-t-il des vérités définitives ?
1996	S	GROUPEMENTS I-IV	NORMALE	La morale a-t-elle un rôle à jouer dans les sciences ?
1996	S	GROUPEMENTS I-IV	NORMALE	Le langage permet-il seulement de communiquer ?
1996	S	GROUPEMENTS I-IV	NORMALE	Y a-t-il nécessairement des imperfections dans le langage ?
1996	S	GROUPEMENTS I-IV	NORMALE	Le bonheur est-il inaccessible à l'homme ?
1996	TECHN.	GROUPEMENTS I-IV	NORMALE	L'homme est-il raisonnable par nature ?
1996	TECHN.	GROUPEMENTS I-IV	NORMALE	Peut-on échapper aux exigences de la conscience ?
1996	TECHN.	GROUPEMENTS I-IV	NORMALE	L'art nous détourne-t-il de la réalité ?
1996	TECHN.	GROUPEMENTS I-IV	NORMALE	Le droit a-t-il pour seul but de pacifier les relations humaines ?
1996	ES	GROUPEMENTS II-III	NORMALE	Peut-on comprendre le présent si l'on ignore le passé ?
1996	ES	GROUPEMENTS II-III	NORMALE	À quoi reconnaît-on une attitude religieuse ?
1996	ES	GROUPEMENTS II-III	NORMALE	Pourquoi nous trompons-nous ?
1996	ES	GROUPEMENTS II-III	NORMALE	Pour connaître, suffit-il de bien observer ?
1996	L	GROUPEMENTS II-III	NORMALE	Peut-on triompher de la mort ?
1996	L	GROUPEMENTS II-III	NORMALE	La paix peut-elle s'accommoder de l'injustice ?
1996	L	GROUPEMENTS II-III	NORMALE	Est-il juste de dire que l'histoire jugera ?
1996	L	GROUPEMENTS II-III	NORMALE	La conscience de soi est-elle une connaissance ?
1996	S	GROUPEMENTS II-III	NORMALE	En quel sens peut-on dire que nos paroles dépassent notre pensée ?
1996	S	GROUPEMENTS II-III	NORMALE	La recherche du vrai dans les sciences doit-elle se passer du concours de l'imagination ?
1996	TECHN.	GROUPEMENTS II-III	NORMALE	Tous les problèmes peuvent-ils avoir une solution technique ?
1996	TECHN.	GROUPEMENTS II-III	NORMALE	La conviction d'avoir raison fait-elle obstacle au dialogue ?
1996	TECHN.	GROUPEMENTS II-III	SECOURS	L'homme a-t-il besoin de l'art ?
1996	TECHN.	GROUPEMENTS II-III	SECOURS	Le droit ne fait-il que traduire un rapport de forces ?
1996	ES	INDE	NORMALE	L'artiste est-il nécessairement un homme de génie ?
1996	ES	INDE	NORMALE	Tout peut-il avoir une valeur marchande ?
1996	L	INDE	NORMALE	Désirer, est-ce nécessairement souffrir ?
1996	L	INDE	NORMALE	Le bien et le mal sont-ils des conventions ?
1996	S	INDE	NORMALE	La démarche scientifique exclut-elle tout recours à l'imagination ?
1996	S	INDE	NORMALE	Le temps est-il essentiellement destructeur ?
1996	TECHN.	INDE	NORMALE	Faut-il croire les historiens ?
1996	TECHN.	INDE	NORMALE	Peut-on forcer un homme à être libre ?
1996	ES	JAPON	NORMALE	L'homme est-il libre par nature ?
1996	ES	JAPON	NORMALE	Peut-on toujours dire la vérité ?
1996	L	JAPON	NORMALE	L'imagination ne produit-elle qu'illusion ?
1996	L	JAPON	NORMALE	L'exercice du pouvoir est-il compatible avec le respect de la justice ?
1996	S	JAPON	NORMALE	La désobéissance rend-elle plus libre ?
1996	S	JAPON	NORMALE	Pourquoi cherchons-nous à connaître notre passé ?
1996	S	JAPON	NORMALE	Peut-on sortir de sa culture ?
1996	S	JAPON	NORMALE	Les sciences peuvent-elles nous éclairer sur le bien et le mal ?
1996	ES	LA RÉUNION	NORMALE	Pourquoi le travail est-il spécifiquement humain ?
1996	ES	LA RÉUNION	NORMALE	Nos obligations portent-elles atteinte à notre liberté ?
1996	L	LA RÉUNION	NORMALE	Peut-on ne pas savoir ce que l'on dit ?
1996	L	LA RÉUNION	NORMALE	N'y a-t-il de foi que religieuse ?
1996	S	LA RÉUNION	NORMALE	Pourquoi faire son devoir ?
1996	S	LA RÉUNION	NORMALE	De quelle liberté l'art témoigne-t-il ?
1996	TECHN.	LA RÉUNION	NORMALE	La culture est-elle la négation de la nature, ou son accomplissement ?
1996	TECHN.	LA RÉUNION	NORMALE	Ma liberté exclut-elle celle des autres, ou bien la suppose-t-elle ?
1996	TECHN.	MÉTROPOLE + LA RÉUNION	NORMALE	Pourquoi l'homme transforme-t-il la nature ?
1996	TECHN.	MÉTROPOLE + LA RÉUNION	NORMALE	En art, tout s'apprend-il ?
1996	ES	MÉTROPOLE + LA RÉUNION	REMPLACEMENT	Y a-t-il une servitude volontaire ?
1996	ES	MÉTROPOLE + LA RÉUNION	REMPLACEMENT	Est-ce parce qu'ils sont ignorants que les hommes ont des croyances ?
1996	L	MÉTROPOLE + LA RÉUNION	REMPLACEMENT	Est-ce par amour de la vérité que l'homme recherche le savoir ?
1996	L	MÉTROPOLE + LA RÉUNION	REMPLACEMENT	Suis-je dans le même temps qu'autrui ?
1996	S	MÉTROPOLE + LA RÉUNION	REMPLACEMENT	La science nous livre-t-elle le réel tel qu'il est ?
1996	S	MÉTROPOLE + LA RÉUNION	REMPLACEMENT	Qu'ai-je le droit d'exiger des autres ?
1996	ES	NOUVELLE-CALÉDONIE	NORMALE	Peut-on faire l'éloge de la passion ?
1996	ES	NOUVELLE-CALÉDONIE	NORMALE	Un peuple est-il responsable de son histoire ?
1996	L	NOUVELLE-CALÉDONIE	NORMALE	Qu'est-ce qu'un fait de culture ?
1996	L	NOUVELLE-CALÉDONIE	NORMALE	L'exercice de la philosophie contribue-t-il au développement de la démocratie ?
1996	S	NOUVELLE-CALÉDONIE	NORMALE	Peut-on penser par soi-même sans penser contre soi-même ?
1996	S	NOUVELLE-CALÉDONIE	NORMALE	Rendre visible l'invisible, est-ce la vocation de l'art ?
1996	TECHN.	NOUVELLE-CALÉDONIE	NORMALE	Puis-je être certain d'être dans le vrai ?
1996	TECHN.	NOUVELLE-CALÉDONIE	NORMALE	S'intéresser à l'histoire, est-ce se réfugier dans le passé ?
1996	ES	POLYNÉSIE	NORMALE	Tout peut-il s'expliquer historiquement ?
1996	ES	POLYNÉSIE	NORMALE	Qu'est-ce qui fait la valeur d'une oeuvre d'art ?
1996	L	POLYNÉSIE	NORMALE	Les hommes n'agissent-ils que par intérêt ?
1996	L	POLYNÉSIE	NORMALE	Pourquoi des artistes ?
1996	S	POLYNÉSIE	NORMALE	Ai-je besoin d'autrui pour être objectif ?
1996	S	POLYNÉSIE	NORMALE	L'artiste fait-il ce qu'il veut ?
1996	TECHN.	POLYNÉSIE	NORMALE	Est-ce par crainte du châtiment que l'on obéit aux lois ?
1996	TECHN.	POLYNÉSIE	NORMALE	Peut-on prouver qu'une oeuvre d'art est belle ?
1996	ES	POLYNÉSIE	REMPLACEMENT	Dans la connaissance et dans l'action, faut-il toujours se méfier de ses premières impressions ?
1996	ES	POLYNÉSIE	REMPLACEMENT	Dans quel but les hommes se donnent-ils des lois ?
1996	L	POLYNÉSIE	REMPLACEMENT	À quoi reconnaît-on qu'une expérience est scientifique ?
1996	L	POLYNÉSIE	REMPLACEMENT	La violence est-elle toujours destructrice ?
1996	S	POLYNÉSIE	REMPLACEMENT	L'État est-il, par définition, indifférent aux intérêts particuliers ?
1996	S	POLYNÉSIE	REMPLACEMENT	Prendre conscience, est-ce se libérer ?
1996	TECHN.	POLYNÉSIE	REMPLACEMENT	À quoi sert la raison ?
1996	TECHN.	POLYNÉSIE	REMPLACEMENT	Y a-t-il un sens à juger une oeuvre d'art du point de vue moral ?
1996	ES	SPORTIFS HAUT NIVEAU	NORMALE	L'histoire enseigne-t-elle la relativité des valeurs ?
1996	ES	SPORTIFS HAUT NIVEAU	NORMALE	Un homme peut-il m'être totalement étranger ?
1996	L	SPORTIFS HAUT NIVEAU	NORMALE	D'où vient que le progrès scientifique laisse subsister des croyances irrationnelles ?
1996	L	SPORTIFS HAUT NIVEAU	NORMALE	La punition est-elle la forme légale de la vengeance ?
1996	S	SPORTIFS HAUT NIVEAU	NORMALE	La connaissance scientifique abolit-elle toute croyance ?
1996	S	SPORTIFS HAUT NIVEAU	NORMALE	A-t-on le devoir d'aimer autrui ?
1996	TECHN.	SPORTIFS HAUT NIVEAU	NORMALE	Sommes-nous maîtres de notre histoire ?
1996	TECHN.	SPORTIFS HAUT NIVEAU	NORMALE	Est-ce seulement par peur du châtiment que l'on obéit à la loi ?
1997	ES	AMÉRIQUE DU NORD	NORMALE	L'art n'obéit-il à aucune règle ?
1997	ES	AMÉRIQUE DU NORD	NORMALE	La diversité des opinions rend-elle vaine la recherche de la vérité ?
1997	S	AMÉRIQUE DU NORD	NORMALE	Le langage sert-il à exprimer la réalité ?
1997	S	AMÉRIQUE DU NORD	NORMALE	Le travail n'est-il que servitude ?
1997	ES	ANTILLES	NORMALE	La technique n'est-elle pour l'homme qu'un moyen ?
1997	ES	ANTILLES	NORMALE	Dois- je tenir compte de ce que font les autres pour orienter ma conduite ?
1997	L	ANTILLES	NORMALE	Peut-on vouloir ce qu'on ne désire pas ?
1997	L	ANTILLES	NORMALE	L'imagination est-elle la cause de notre malheur ?
1997	S	ANTILLES	NORMALE	L'explication scientifique des conduites humaines est-elle incompatible avec l'affirmation de la liberté ?
1997	S	ANTILLES	NORMALE	Puis-je invoquer le cours de l'histoire pour m'excuser de n'avoir pas agi ?
1997	ES	ANTILLES	REMPLACEMENT	L'être humain peut-il perdre son humanité ?
1997	ES	ANTILLES	REMPLACEMENT	La vérité est-elle tyrannique ?
1997	L	ANTILLES	REMPLACEMENT	L'historien peut-il être objectif ?
1997	L	ANTILLES	REMPLACEMENT	Une oeuvre d'art est-elle nécessairement belle ?
1997	S	ANTILLES	REMPLACEMENT	Le progrès scientifique est-il lié à l'évolution des techniques ?
1997	S	ANTILLES	REMPLACEMENT	La reproduction des oeuvres d'art nuit-elle à l'art ?
1997	TECHN.	ANTILLES	REMPLACEMENT	Avons-nous quelque chose à apprendre de nos erreurs ?
1997	TECHN.	ANTILLES	REMPLACEMENT	La violence peut-elle être un remède à l'injustice ?
1997	ES	ÉTRANGER GROUPE 1	NORMALE	Les mathématiques sont-elles une science comme les autres ?
1997	ES	ÉTRANGER GROUPE 1	NORMALE	Suffit-il de bien raisonner pour être raisonnable ?
1997	ES	ÉTRANGER GROUPE 1	NORMALE	Les rapports entre les hommes sont-ils déterminés par leurs intérêts ?
1997	ES	ÉTRANGER GROUPE 1	NORMALE	Les artistes nous apprennent-ils ce que nous sommes ?
1997	S	ÉTRANGER GROUPE 1	NORMALE	Comprend-on mieux ce dont on connaît l'histoire ?
1997	S	ÉTRANGER GROUPE 1	NORMALE	L'imagination est-elle créatrice ?
1997	TECHN.	ÉTRANGER GROUPE 1	NORMALE	Le progrès technique ne pose-t-il de problèmes qu'au technicien ?
1997	TECHN.	ÉTRANGER GROUPE 1	NORMALE	La vérité est-elle ce qui désarme les conflits ?
1997	L	ÉTRANGER GROUPE 1	REMPLACEMENT	Quel rapport y a-t-il entre les mathématiques et la réalité ?
1997	L	ÉTRANGER GROUPE 1	REMPLACEMENT	Quelle différence y a-t-il entre expliquer un acte et juger de sa valeur morale ?
1997	S	ÉTRANGER GROUPE 1	REMPLACEMENT	L'homme peut-il être humain sans la présence d'autrui ?
1997	S	ÉTRANGER GROUPE 1	REMPLACEMENT	Le sentiment du beau est-il communicable ?
1997	TECHN.	ÉTRANGER GROUPE 1	REMPLACEMENT	Le droit et la morale obligent-ils de la même façon ?
1997	TECHN.	ÉTRANGER GROUPE 1	REMPLACEMENT	Peut-on à la fois préserver et dominer la nature ?
1997	TECHN.	GROUPEMENTS I-IV	NORMALE	L'homme est-il le produit de son histoire ?
1997	TECHN.	GROUPEMENTS I-IV	NORMALE	Les hommes peuvent-ils en même temps être libres et égaux ?
1997	ES	GROUPEMENTS II-III	NORMALE	L'histoire est-elle ce qui arrive à l'homme ou ce qui arrive par l'homme ?
1997	ES	GROUPEMENTS II-III	NORMALE	Toute oeuvre d'art nous parle-t-elle de l'homme ?
1997	TECHN.	GROUPEMENTS II-III	NORMALE	La conscience d'être libre peut-elle être illusoire ?
1997	TECHN.	GROUPEMENTS II-III	NORMALE	Peut-on se passionner pour la vérité ?
1997	ES	INDE	NORMALE	Suffit-il d'être conscient de ses actes pour en être responsable ?
1997	ES	INDE	NORMALE	Une société juste peut-elle s'accommoder d'inégalités ?
1997	L	INDE	NORMALE	Dissiper une illusion, est-ce seulement corriger une erreur ?
1997	L	INDE	NORMALE	Qu'est-ce qu'un homme de bonne volonté ?
1997	S	INDE	NORMALE	Faut-il travailler pour être heureux ?
1997	S	INDE	NORMALE	La recherche scientifique est-elle une recherche de la vérité ?
1997	TECHN.	INDE	NORMALE	La raison a-t-elle besoin de douter ?
1997	TECHN.	INDE	NORMALE	Une oeuvre d'art s'adresse-t-elle seulement aux hommes de son temps ?
1997	ES	JAPON	NORMALE	Un artiste doit-il être original ?
1997	ES	JAPON	NORMALE	Qu'est-ce qu'être maître de soi ?
1997	L	JAPON	NORMALE	Faire ce qu'on veut, est-ce faire ce qui plaît ?
1997	L	JAPON	NORMALE	La connaissance commune est-elle, pour la connaissance scientifique, un point d'appui ou un obstacle ?
1997	TECHN.	LA RÉUNION	NORMALE	Dire à quelqu'un “sois naturel”, est-ce lui donner un bon conseil ?
1997	TECHN.	LA RÉUNION	NORMALE	La conscience est-elle ce qui me rend libre ?
1997	ES	MÉTROPOLE	NORMALE	La vérité est-elle contraignante ou libératrice ?
1997	ES	MÉTROPOLE	NORMALE	Le respect n'est-il dû qu'à la personne ?
1997	L	MÉTROPOLE	NORMALE	Si le droit est relatif au temps et aux lieux, faut-il renoncer à l'idée d'une justice universelle ?
1997	L	MÉTROPOLE	NORMALE	Dans quels domaines est-il légitime de prendre la nature comme modèle ?
1997	S	MÉTROPOLE	NORMALE	L'imaginaire et le réel se contredisent-ils ?
1997	S	MÉTROPOLE	NORMALE	Ne doit-on tenir pour vrai que ce qui est scientifiquement prouvé ?
1997	S	MÉTROPOLE	NORMALE	Peut-on changer le cours de l'histoire ?
1997	S	MÉTROPOLE	NORMALE	Les hommes peuvent-ils avoir des droits sans avoir des devoirs ?
1997	ES	MÉTROPOLE	REMPLACEMENT	L'art peut-il nous affranchir de l'ordre du temps ?
1997	ES	MÉTROPOLE	REMPLACEMENT	Les vérités scientifiques ne sont-elles que conventionnelles ?
1997	L	MÉTROPOLE	REMPLACEMENT	Un art peut-il se passer de règles ?
1997	L	MÉTROPOLE	REMPLACEMENT	Les hommes font-ils leur propre histoire ?
1997	S	MÉTROPOLE	REMPLACEMENT	L'histoire peut-elle justifier le mal ?
1997	S	MÉTROPOLE	REMPLACEMENT	L'artiste doit-il chercher à plaire ?
1997	TECHN.	MÉTROPOLE	REMPLACEMENT	L'ignorance est-elle une excuse ?
1997	TECHN.	MÉTROPOLE	REMPLACEMENT	Faut-il enterrer le passé ?
1997	L	MÉTROPOLE	SECOURS	À quoi reconnaît-on l'humanité en chaque homme ?
1997	L	MÉTROPOLE	SECOURS	Le savoir exclut-il toute forme de croyance ?
1997	ES	POLYNÉSIE	NORMALE	Pourquoi un fait devrait-il être établi ?
1997	ES	POLYNÉSIE	NORMALE	S'il y a une beauté naturelle, rend-elle l'art inutile ?
1997	S	POLYNÉSIE	NORMALE	Le passionné est-il l'ennemi de lui-même ?
1997	S	POLYNÉSIE	NORMALE	À quoi peut-on reconnaître la vérité ?
1997	L	POLYNÉSIE	REMPLACEMENT	Une passion peut-elle résister au temps ?
1997	L	POLYNÉSIE	REMPLACEMENT	Y a-t-il un droit à l'erreur ?
1997	ES	SPORTIFS HAUT NIVEAU	NORMALE	L'erreur a-t-elle un rôle dans l'élaboration de la vérité ?
1997	ES	SPORTIFS HAUT NIVEAU	NORMALE	Étudier l'économie, est-ce étudier l'homme ?
1997	L	SPORTIFS HAUT NIVEAU	NORMALE	Les valeurs morales sont-elles relatives ?
1997	L	SPORTIFS HAUT NIVEAU	NORMALE	Choisit-on d'être celui qu'on est ?
1997	S	SPORTIFS HAUT NIVEAU	NORMALE	Avons-nous besoin de rêver ?
1997	S	SPORTIFS HAUT NIVEAU	NORMALE	L'État doit-il être sans pitié ?
1997	TECHN.	SPORTIFS HAUT NIVEAU	REMPLACEMENT	En quel sens peut-on dire que la vérité s'impose ?
1997	TECHN.	SPORTIFS HAUT NIVEAU	REMPLACEMENT	La loi est-elle une garantie contre l'injustice ?
1998	ES	AMÉRIQUE DU NORD	NORMALE	Peut-on dire des vérités scientifiques qu'elles sont provisoires ?
1998	ES	AMÉRIQUE DU NORD	NORMALE	Est-ce l'ignorance de ce que nous sommes qui fait la force de nos passions ?
1998	S	AMÉRIQUE DU NORD	NORMALE	Qu'est-ce qu'un État libre ?
1998	S	AMÉRIQUE DU NORD	NORMALE	Doit-on apprendre à devenir soi -même ?
1998	ES	AMÉRIQUE DU SUD	NORMALE	Obéir me dégage-t-il de toute responsabilité ?
1998	ES	AMÉRIQUE DU SUD	NORMALE	Faut-il recourir à la notion d'inspiration pour rendre compte de la production artistique ?
1998	L	AMÉRIQUE DU SUD	NORMALE	Prendre son temps est-ce le perdre ?
1998	L	AMÉRIQUE DU SUD	NORMALE	N'y a-t-il de science que de ce qui est mathématisable ?
1998	S	AMÉRIQUE DU SUD	NORMALE	La vérité est-elle soumise au temps ?
1998	S	AMÉRIQUE DU SUD	NORMALE	Expliquer, est-ce justifier ?
1998	ES	ANTILLES	NORMALE	Peut-on se connaître soi-même ?
1998	ES	ANTILLES	NORMALE	Parler, n'est-ce pas toujours en un sens donner sa parole ?
1998	L	ANTILLES	NORMALE	Est-il juste de dire que seul le présent existe ?
1998	L	ANTILLES	NORMALE	L'amitié est-elle la forme idéale du rapport à autrui ?
1998	S	ANTILLES	NORMALE	Faut-il accorder de l'importance aux mots ?
1998	S	ANTILLES	NORMALE	Dans quelle mesure une connaissance scientifique donne-t-elle du pouvoir sur l'avenir ?
1998	TECHN.	ANTILLES	NORMALE	Toutes les contraintes sociales sont-elles des oppressions ?
1998	TECHN.	ANTILLES	NORMALE	La nature nous fournit-elle des outils ?
1998	ES	ANTILLES	REMPLACEMENT	De quoi pouvons-nous être sûrs ?
1998	ES	ANTILLES	REMPLACEMENT	Faut-il préférer l'injustice au désordre ?
1998	L	ANTILLES	REMPLACEMENT	Est-il insensé de vouloir transformer l'homme ?
1998	L	ANTILLES	REMPLACEMENT	À quoi reconnaît-on un jugement vrai ?
1998	S	ANTILLES	REMPLACEMENT	La spontanéité est-elle une marque de liberté ?
1998	S	ANTILLES	REMPLACEMENT	Les vérités mathématiques constituent-elles le modèle de toute vérité ?
1998	TECHN.	ANTILLES	REMPLACEMENT	Y a-t-il un progrès dans l'art ?
1998	TECHN.	ANTILLES	REMPLACEMENT	Sommes-nous conscients ou avons-nous à nous rendre conscients ?
1998	ES	ÉTRANGER GROUPE 1	NORMALE	Est-ce le recours à l'expérience qui garantit le caractère scientifique d'une théorie ?
1998	ES	ÉTRANGER GROUPE 1	NORMALE	La religion peut-elle se définir par sa fonction sociale ?
1998	S	ÉTRANGER GROUPE 1	NORMALE	Que nous apprend l'expérience ?
1998	S	ÉTRANGER GROUPE 1	NORMALE	A-t-on le droit de mentir ?
1998	TECHN.	ÉTRANGER GROUPE 1	NORMALE	Avons-nous le devoir de faire respecter nos droits ?
1998	TECHN.	ÉTRANGER GROUPE 1	NORMALE	Déraisonner, est-ce perdre la raison ?
1998	L	INDE	NORMALE	Faut-il s'abstenir de penser pour être heureux ?
1998	L	INDE	NORMALE	Quelles compétences faut-il avoir pour apprécier une oeuvre d'art ?
1998	S	INDE	NORMALE	La guerre peut-elle être juste ?
1998	S	INDE	NORMALE	Tout s'en va-t-il avec le temps ?
1998	TECHN.	INDE	NORMALE	La loi constitue-t-elle, pour la liberté, un obstacle ou une condition ?
1998	TECHN.	INDE	NORMALE	L'humanité peut-elle se désintéresser de son passé ?
1998	ES	JAPON	NORMALE	Peut-il être raisonnable de désobéir à la loi ?
1998	ES	JAPON	NORMALE	Suis-je ce que mon passé a fait de moi ?
1998	L	JAPON	NORMALE	La raison est-elle seulement affaire de logique ?
1998	L	JAPON	NORMALE	Suffit-il de faire son devoir ?
1998	S	JAPON	NORMALE	Faut-il renoncer à s'interroger sur ce qui est hors de portée de la connaissance scientifique ?
1998	S	JAPON	NORMALE	L'oeuvre d'art est-elle nécessairement belle ?
1998	ES	LA RÉUNION	NORMALE	La liberté de pensée est-elle compatible avec la nécessité de la vérité ?
1998	ES	LA RÉUNION	NORMALE	Peut-on faire comme si le passé n'existait pas ?
1998	L	LA RÉUNION	NORMALE	Peut-on être libre quand on n'a pas le choix ?
1998	L	LA RÉUNION	NORMALE	Les mots peuvent-ils nous manquer ?
1998	S	LA RÉUNION	NORMALE	Vaut-il mieux parler de découverte scientifique ou d'invention scientifique ?
1998	S	LA RÉUNION	NORMALE	Le bonheur n'est-il qu'une question de chance ?
1998	TECHN.	LA RÉUNION	NORMALE	À quoi sert la technique ?
1998	TECHN.	LA RÉUNION	NORMALE	Qu'est-ce qu'être raisonnable ?
1998	ES	LIBAN	NORMALE	L'égalité est-elle nécessairement juste ?
1998	ES	LIBAN	NORMALE	Peut-on mesurer la valeur du travail ?
1998	S	LIBAN	NORMALE	Peut-on être heureux sans le savoir ?
1998	S	LIBAN	NORMALE	Y a-t-il une différence de nature entre l'homme et l'animal ?
1998	ES	MÉTROPOLE	NORMALE	L'éphémère a-t-il de la valeur ?
1998	ES	MÉTROPOLE	NORMALE	L'exigence de justice a-t-elle sa place dans les rapports économiques ?
1998	L	MÉTROPOLE	NORMALE	Puis-je faire confiance à mes sens ?
1998	L	MÉTROPOLE	NORMALE	Peut-on dire d'un acte qu'il est inhumain ?
1998	S	MÉTROPOLE	NORMALE	Comment décider qu'un acte est juste ?
1998	S	MÉTROPOLE	NORMALE	La valeur d'une théorie se mesure-t-elle à son efficacité pratique ?
1998	TECHN.	MÉTROPOLE	NORMALE	L'opinion a-t-elle nécessairement tort ?
1998	TECHN.	MÉTROPOLE	NORMALE	Y a-t-il des règles de l'art ?
1998	ES	MÉTROPOLE	REMPLACEMENT	En apprenant sa langue maternelle n'apprend-on qu'à parler ?
1998	ES	MÉTROPOLE	REMPLACEMENT	La passion est-elle une excuse ?
1998	L	MÉTROPOLE	REMPLACEMENT	Croire en la science, est-ce une forme de religion ?
1998	L	MÉTROPOLE	REMPLACEMENT	Qui peut être tenu pour responsable ?
1998	S	MÉTROPOLE	REMPLACEMENT	Avons-nous le devoir de faire le bonheur des autres ?
1998	S	MÉTROPOLE	REMPLACEMENT	Peut-on reprocher à une oeuvre d'art de ne rien vouloir dire ?
