annee,serie,lieu,session,auteur
1996,TECHN.,ANTILLES,NORMALE,"Qu'est-ce que le droit ? C'est l'égalité. Dès qu'un contrat enferme quelque inégalité, vous soupçonnez aussitôt que ce contrat viole le droit...
Le droit règne là où le petit enfant qui tient son sou dans sa main et regarde avidement les objets étalés, se trouve l'égal de la plus rusée ménagère.
On voit bien ici comment l'état de droit s'opposera au libre jeu de la force. Si nous laissons agir les puissances, l'enfant sera certainement trompé ; même si on ne lui prend pas son sou par force brutale, on lui fera croire sans peine qu'il doit échanger un vieux sou contre un centime neuf (1). C'est contre l'inégalité que le droit a été inventé. Et les lois justes sont celles qui s'ingénient à faire que (2) les hommes, les femmes, les enfants, les malades, les ignorants soient tous égaux. Ceux qui disent, contre le droit, que l'inégalité est dans la nature des choses, disent donc des pauvretés.


ALAIN


(1) un sou valait 5 centimes
(2) ""s'ingénient à faire que"" : cherchent à obtenir que


QUESTIONS :

1° Quelle est l'idée principale du texte ? Dégagez les étapes de l'argumentation.

2° Définissez ce qu'Alain entend par ""état de droit"".

3° Traitez la question suivante sous la forme d'un développement argumenté : Pensez-vous comme l'auteur que la recherche de l'égalité soit à l'origine du droit ?"
1996,ES,ANTILLES,REMPLACEMENT,"La religion, qui est fondée simplement sur la théologie, ne saurait contenir quelque chose de moral. On n'y aura d'autres sentiments que celui de la crainte, d'une part, et l'espoir de la récompense de l'autre, ce qui ne produira qu'un culte superstitieux. Il faut donc que la moralité précède et que la théologie la suive, et c'est là ce qui s'appelle la religion.
La loi considérée en nous s'appelle la conscience. La conscience est proprement l'application de nos actions à cette loi. Les reproches de la conscience resteront sans effet, si on ne les considère pas comme les représentants de Dieu, dont le siège sublime est bien élevé au-dessus de nous, mais qui a aussi établi en nous un tribunal. Mais d'un autre côté, quand la religion ne se joint pas à la conscience morale, elle est aussi sans effet. Comme on l'a déjà dit, la religion, sans la conscience morale est un culte superstitieux. On pense servir Dieu en le louant, par exemple, en célébrant sa puissance, sa sagesse, sans songer à remplir les lois divines, sans même connaître cette sagesse et cette puissance et sans les étudier. On cherche dans ces louanges comme un narcotique pour sa conscience, ou comme un oreiller sur lequel on espère reposer tranquillement.


KANT"
1996,L,ANTILLES,REMPLACEMENT,"Je me suis demandé (...) ce que le peuple entend au fond par connaissance, que cherche-t-il quand il la demande ? Rien que ceci : ramener quelque chose d'étranger à quelque chose de connu. Nous, philosophes, que mettons-nous de plus dans ce mot ? Le connu, c'est-à-dire les choses auxquelles nous sommes habitués, de telle sorte que nous ne nous en étonnant plus ; nous y mettons notre menu quotidien, une règle quelconque qui nous mène, tout ce qui nous est familier... Eh quoi ? Notre besoin de connaître n'est-il pas justement notre besoin de familier ? Le désir de trouver, parmi tout ce qui nous est étranger, inhabituel, énigmatique, quelque chose qui ne nous inquiète plus ? Ne serait-ce pas l'instinct de la peur qui nous commanderait de connaître ? Le ravissement qui accompagne l'acquisition de la connaissance ne serait-il pas la volupté de la sécurité retrouvée ?


NIETZSCHE"
1996,S,ANTILLES,REMPLACEMENT,"N'a-t-on pas un mot qui désignerait, non une jouissance comme le mot bonheur, mais qui cependant indiquerait une satisfaction liée à notre existence, un analogue du bonheur qui doit nécessairement accompagner la conscience de la vertu ? Si ! ce mot existe, c'est contentement de soi-même, qui au sens propre ne désigne jamais qu'une satisfaction négative liée à l'existence, par laquelle on a conscience de n'avoir besoin de rien. La liberté et la conscience de la liberté, comme conscience d'un pouvoir que nous avons de suivre, avec une intention inébranlable, la loi morale, est l'indépendance à l'égard des penchants, du moins comme causes déterminantes (sinon comme causes affectives) de notre désir, et en tant que je suis conscient de cette indépendance dans l'exécution de mes maximes morales, elle est l'unique source d'un contentement immuable, nécessairement lié avec elle, ne reposant sur aucun sentiment particulier, et qui peut s'appeler intellectuel. Le contentement sensible (qui est ainsi appelé improprement) qui repose sur la satisfaction des penchants, si raffinés qu'on les imagine, ne peut jamais être adéquat à ce qu'on se représente. Car les penchants changent, croissent avec la satisfaction qu'on leur accorde et ils laissent toujours un vide plus grand encore que celui qu'on a cru remplir.


KANT"
1996,TECHN.,ANTILLES,REMPLACEMENT,"Progrès : changement lent, longtemps imperceptible, et qui consacre une victoire de la volonté contre les forces extérieures. Tout progrès est de liberté. J'arrive à faire ce que je veux, par exemple me lever matin (1), lire la musique, être poli, retenir la colère, ne pas éprouver l'envie, parler distinctement, écrire lisiblement, etc. D'accord entre eux les hommes arrivent à sauver la paix, à diminuer l'injustice et la misère, à instruire tous les enfants, à soigner les malades.
Au contraire on nomme évolution le changement qui nous soumet un peu plus aux forces inhumaines en nous détournant insensiblement de nos beaux projets. Un homme qui dit : ""J'ai évolué"" veut quelquefois faire entendre qu'il a avancé en sagesse ; il ne peut, la langue ne le permet pas.


ALAIN


(1) ""me lever matin"" : me lever tôt.


QUESTIONS :

1° Vous dégagerez l'idée centrale du texte et les étapes de son argumentation.

2° Expliquez : ""on nomme évolution le changement qui nous soumet un peu plus aux forces inhumaines"".

3° Pourquoi les exemples d'Alain ""me lever matin, lire la musique, être poli"", etc., sont-ils des manifestations de la liberté ?

4° Traitez la question suivante sous forme de développement argumenté : pensez-vous que tout progrès favorise la réalisation de la liberté ?"
1996,ES,ÉTRANGER GROUPE 1,NORMALE,"On peut alors demander : pourquoi la religion ne met-elle pas un terme à ce combat sans espoir pour elle en déclarant franchement : ""c'est exact que je ne peux pas vous donner ce qu'on appelle d'une façon générale la vérité ; pour cela, il faut vous en tenir à la science.
Mais ce que j'ai à donner est incomparablement plus beau, plus consolant et plus exaltant que tout ce que vous pouvez recevoir de la science. Et c'est pour cela que je vous dis que c'est vrai, dans un autre sens plus élevé"".
La réponse est facile à trouver.
La religion ne peut pas faire cet aveu, car elle perdrait ainsi toute influence sur la masse. L'homme commun ne connaît qu'une vérité, au sens commun du mot. Ce que serait une vérité plus élevée ou suprême, il ne peut se le représenter. La vérité lui semble aussi peu susceptible de gradation que la mort, et il ne peut suivre le saut du beau au vrai. Peut-être pensez-vous avec moi qu'il fait bien ainsi.


FREUD"
1996,L,ÉTRANGER GROUPE 1,NORMALE,"Une énorme tuile, arrachée par le vent, tombe et assomme un passant. Nous disons que c'est un hasard. Le dirions-nous, si la tuile s'était simplement brisée sur le sol ? Peut-être, mais c'est que nous penserions vaguement alors à un homme qui aurait pu se trouver là, ou parce que, pour une raison ou pour une autre, ce point spécial du trottoir nous intéressait particulièrement, de telle sorte que la tuile semble l'avoir choisi pour y tomber. Dans les deux cas, il n'y a de hasard que parce qu'un intérêt humain est en jeu et parce que les choses se sont passées comme si l'homme avait été pris en considération, soit en vue de lui rendre service, soit plutôt avec l'intention de lui nuire. Ne pensez qu'au vent arrachant la tuile, à la tuile tombant sur le trottoir, au choc de la tuile contre le sol : vous ne voyez plus que du mécanisme, le hasard s'évanouit. Pour qu'il intervienne, il faut que, l'effet ayant une signification humaine, cette signification rejaillisse sur la cause et la colore, pour ainsi dire, d'humanité. Le hasard est donc le mécanisme se comportant comme s'il avait une intention.


BERGSON"
1996,S,ÉTRANGER GROUPE 1,NORMALE,"Ce ne sont pas les excitations de sa nature qui éveillent en l'homme les passions, ces mouvements désignés par un mot si juste et qui causent de si grands ravages dans ses dispositions primitivement bonnes. Il n'a que de petits besoins, et les soucis qu'ils lui procurent laissent son humeur calme et modérée. Il n'est pauvre (ou ne se croit tel) qu'autant qu'il a peur que les autres hommes puissent le croire pauvre et le mépriser pour cela. L'envie, l'ambition, l'avarice, et les inclinations haineuses qui les suivent, assaillent sa nature, en elle-même modérée, dès qu'il vit au milieu des hommes, et il n'est même pas besoin de supposer ces hommes déjà enfoncés dans le mal, lui donnant de mauvais exemples ; il suffit qu'ils soient là, qu'ils l'entourent dans leurs dispositions morales et qu'ils se rendent mutuellement mauvais.


KANT"
1996,TECHN.,ÉTRANGER GROUPE 1,NORMALE,"C'est la faiblesse de l'homme qui le rend sociable, ce sont nos misères communes qui portent nos coeurs à l'humanité : nous ne lui devrions rien si nous n'étions pas hommes. Tout attachement est un signe d'insuffisance : si chacun de nous n'avait nul besoin des autres, il ne songerait guère à s'unir à eux. Ainsi de notre infirmité même naît notre frêle bonheur. Un être vraiment heureux est un être solitaire. (...).
Il suit de là que nous nous attachons à nos semblables moins par le sentiment de leurs plaisirs que par celui de leurs peines ; car nous y voyons bien mieux l'identité de notre nature et les garants de leur attachement pour nous. Si nos besoins communs nous unissent par intérêt, nos misères communes nous unissent par affection. (...).
L'imagination nous met à la place du misérable plutôt qu'à celle de l'homme heureux, on sent que l'un de ces états nous touche de plus près que l'autre. La pitié est douce, parce qu'en se mettant à la place de celui qui souffre, on sent pourtant le plaisir de ne pas souffrir comme lui.


ROUSSEAU



QUESTIONS :

1° Expliquez quelles sont, pour Rousseau, les causes qui unissent les hommes.

2° Expliquez les expressions :
a) ""Tout attachement est un signe d'insuffisance"" ;
b) ""nos misères communes nous unissent par affection"".

3° Dans une discussion argumentée et progressive, vous vous demanderez si l'on peut trouver d'autres causes que la faiblesse des hommes à la nécessité de leur union."
1996,L,ÉTRANGER GROUPE 1,REMPLACEMENT,"Nous venons de parler de l'hostilité contre la civilisation, engendrée par la pression que celle-ci exerce, par les renonciations aux instincts qu'elle exige. S'imagine-t-on toutes ses interdictions levées, alors on pourrait s'emparer de toute femme qui vous plairait, sans hésiter, tuer son rival ou quiconque vous barrerait le chemin, ou bien dérober à autrui, sans son assentiment, n'importe lequel de ses biens ; que ce serait donc beau et quelle série de satisfactions nous offrirait alors la vie ! Mais la première difficulté se laisse à la vérité vite découvrir. Mon prochain a exactement les mêmes désirs que moi et il ne me traitera pas avec plus d'égards que je ne le traiterai moi même. Au fond, si les entraves dues à la civilisation étaient brisées, ce n'est qu'un seul homme qui pourrait jouir d'un bonheur illimité, un tyran, un dictateur ayant monopolisé tous les moyens de coercition, et alors lui-même aurait raison de souhaiter que les autres observassent du moins ce commandement culturel : tu ne tueras point.


FREUD"
1996,S,ÉTRANGER GROUPE 1,REMPLACEMENT,"Quant aux divers sons du langage, c'est la nature qui poussa les hommes à les émettre, et c'est le besoin qui fit naître les noms des choses : à peu près comme nous voyons l'enfant amené, par son incapacité même de s'exprimer avec la langue, à recourir au geste qui lui fait désigner du doigt les objets présents. Chaque être en effet a le sentiment de l'usage qu'il peut faire de ses facultés (...). Ainsi penser qu'alors un homme ait pu donner à chaque chose son nom, et que les autres aient appris de lui les premiers éléments du langage, est vraiment folie. Si celui-ci a pu désigner chaque objet par son nom, émettre les divers sons du langage, pourquoi supposer que d'autres n'auraient pu le faire en même temps que lui ? En outre, si les autres n'avaient pas également usé entre eux la parole, d'où la notion de son utilité lui est-elle venue ? (...).. Enfin qu'y a-t-il de si étrange que le genre humain en possession de la voix et de la langue ait désigné suivant ses impressions diverses les objets par des noms divers ? Les troupeaux privés de la parole et même les espèces sauvages poussent bien des cris différents suivants que la crainte, la douleur ou la joie les pénètrent.


LUCRÈCE"
1996,TECHN.,ÉTRANGER GROUPE 1,REMPLACEMENT,"Penser est une aventure. Nul ne peut dire où il débarquera, ou bien ce n'est plus penser (...). La condition préalable de n'importe quelle idée, en n'importe qui, c'est un doute radical (...). Non pas seulement à l'égard de ce qui est douteux, car c'est trop facile, mais, à l'égard de ce qui ressemble le plus au vrai, car, même le vrai, la pensée le doit défaire et refaire. Si vous voulez savoir, vous devez commencer par ne plus croire, entendez ne plus donner aux coutumes le visa de l'esprit. Une pensée c'est un doute, mais à l'égard de la coutume, il y a plus que doute, car, quelque force qu'ait la coutume, et même si le penseur s'y conforme, la coutume ne sera jamais preuve.


ALAIN



QUESTIONS :

1° Dégagez l'idée principale du texte en précisant la structure de son argumentation.

2° Expliquez :
a) ""même le vrai, la pensée le doit défaire et refaire"" ;
b) ""la coutume ne sera jamais preuve"".

3° Dans une discussion progressive et argumentée, vous vous demanderez si la croyance s'oppose toujours à la pensée."
1996,ES,GROUPEMENTS I-IV,NORMALE,"Chacun a pu remarquer, au sujet des opinions communes, que chacun les subit et que personne ne les forme. Un citoyen, même avisé et énergique quand il n'a à conduire que son propre destin, en vient naturellement et par espèce de sagesse à rechercher quelle est l'opinion dominante au sujet des affaires publiques. ""Car se dit-il, comme je n'ai ni la prétention ni le pouvoir de gouverner à moi tout seul, il faut que je m'attende à être conduit ; à faire ce qu'on fera, à penser ce qu'on pensera"". Remarquez que tous raisonnent de même, et de bonne foi. Chacun a bien peut-être une opinion ; mais c'est à peine s'il se la formule à lui-même ; il rougit à la seule pensée qu'il pourrait être de son avis.
Le voilà donc qui honnêtement écoute les orateurs, lit les journaux, enfin se met à la recherche de cet être fantastique que l'on appelle l'opinion publique. ""La question n'est pas de savoir si je veux ou non faire la guerre"". Il interroge donc le pays. Et tous les citoyens interrogent le pays, au lieu de s'interroger eux-mêmes.
Les gouvernants font de même, et tout aussi naïvement. Car, sentant qu'ils ne peuvent rien tout seuls, ils veulent savoir où ce grand corps va les mener. Et il est vrai que ce grand corps regarde à son tour vers le gouvernement, afin de savoir ce qu'il faut penser et vouloir. Par ce jeu, il n'est point de folle conception qui ne puisse quelque jour s'imposer à tous, sans que personne pourtant l'ait jamais formée de lui-même et par libre réflexion. Bref, les pensées mènent tout, et personne ne pense. D'où il résulte qu'un État formé d'hommes raisonnables peut penser et agir comme un fou. Et ce mal vient originairement de ce que personne n'ose former son opinion par lui-même ni la maintenir énergiquement, en lui d'abord, et devant les autres aussi.


ALAIN"
1996,ES,GROUPEMENTS I-IV,NORMALE,"De tous les arguments qui nous persuadent que les bêtes sont dénuées de pensées, le principal, à mon avis, est que bien que les unes soient plus parfaites que les autres dans une même espèce, tout de même que chez les hommes, comme on peut voir chez les chevaux et chez les chiens, dont les uns apprennent beaucoup plus aisément que d'autres ce qu'on leur enseigne ; et bien que toutes nous signifient très facilement leurs impulsions naturelles, telles que la colère, la crainte, la faim, ou autres états semblables, par la voix ou par d'autres mouvements du corps, jamais cependant jusqu'à ce jour on n'a pu observer qu'aucun animal en soit venu à ce point de perfection d'user d'un véritable langage c'est-à-dire d'exprimer soit par la voix, soit par les gestes quelque chose qui puisse se rapporter à la seule pensée et non à l'impulsion naturelle. Ce langage est en effet le seul signe certain d'une pensée latente dans le corps ; tous les hommes en usent, même ceux qui sont stupides ou privés d'esprit, ceux auxquels manquent la langue et les organes de la voix, mais aucune bête ne peut en user ; c'est pourquoi il est permis de prendre le langage pour la vraie différence entre les hommes et les bêtes.


DESCARTES"
1996,L,GROUPEMENTS I-IV,NORMALE,"Voter, ce n'est pas précisément un des droits de l'Homme ; on vivrait très bien sans voter, si l'on avait la sûreté, l'égalité, la liberté. Le vote n'est qu'un moyen de conserver tous ces biens. L'expérience a fait voir cent fois qu'une élite gouvernante, qu'elle gouverne d'après l'hérédité, ou par la science acquise, arrive très vite à priver les citoyens de toute liberté, si le peuple n'exerce pas un pouvoir de contrôle, de blâme et enfin de renvoi. Quand je vote, je n'exerce pas un droit, je défends tous mes droits. Il ne s'agit donc pas de savoir si mon vote est perdu ou non, mais bien de savoir si le résultat cherché est atteint, c'est-à-dire si les pouvoirs sont contrôlés, blâmés et enfin détrônés dès qu'ils méconnaissent les droits des citoyens.
On conçoit très bien un système politique, par exemple le plébiscite (1), où chaque citoyen votera une fois librement, sans que ses droits soient pour cela bien gardés. Aussi je ne tiens pas tant à choisir effectivement, et pour ma part, tel ou tel maître, qu'à être assuré que le maître n'est pas le maître, mais seulement le serviteur du peuple. C'est dire que je ne changerai pas mes droits réels pour un droit fictif.


ALAIN


(1) Vote par lequel un peuple abandonne le pouvoir à un homme."
1996,L,GROUPEMENTS I-IV,NORMALE,"En contemplant une chute d'eau, nous croyons voir dans les innombrables ondulations, serpentements, brisements des vagues, liberté de la volonté et caprice ; mais tout est nécessité, chaque mouvement peut se calculer mathématiquement. Il en est de même pour les actions humaines ; on devrait pouvoir calculer d'avance chaque action, si l'on était omniscient, et de même chaque progrès de la connaissance, chaque erreur, chaque méchanceté. L'homme agissant lui même est, il est vrai, dans l'illusion du libre arbitre ; si à un instant la roue du monde s'arrêtait et qu'il y eût là une intelligence calculatrice omnisciente pour mettre à profit cette pause, elle pourrait continuer à calculer l'avenir de chaque être jusqu'aux temps les plus éloignés et marquer chaque trace où cette roue passera désormais. L'illusion sur soi-même de l'homme agissant, la conviction de son libre arbitre, appartient également à ce mécanisme, qui est objet de calcul.


NIETZSCHE"
